workload,backend,round,order,variant,wall_ms,traversal_us,aggregation_us,entries_per_second,files,directories,duplicate_hard_links,logical_bytes,allocated_bytes,skipped_entries
development_workspace,statx,1,1,baseline,163.16011999999998,159785,3246,2671976.4609145913,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,1,2,candidate,155.772556,150360,5294,2798695.8113468974,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,2,1,candidate,147.470144,142858,4494,2956259.4039373826,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,2,2,baseline,150.20974900000002,146989,3092,2902341.5783751826,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,3,1,baseline,154.843691,151641,3081,2815484.4229333177,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,3,2,candidate,153.531992,150376,3037,2839538.485242867,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,4,1,candidate,142.685257,139446,3110,3055396.2558304113,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,4,2,baseline,170.71438,167526,3067,2553739.1753407065,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,5,1,baseline,158.37674900000002,155162,3083,2752676.7833831464,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,5,2,candidate,161.602726,157826,3664,2697726.7697823364,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,6,1,candidate,151.74795899999998,148477,3139,2872921.6713880156,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,6,2,baseline,160.773627,157468,3172,2711638.7689630217,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,7,1,baseline,163.681247,160458,3099,2663469.4443646315,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,7,2,candidate,169.971498,166732,3111,2564900.6164551186,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,8,1,candidate,152.65419699999998,149391,3150,2855866.4522011145,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,8,2,baseline,159.704626,156448,3124,2729789.4301446225,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,9,1,baseline,163.939254,160657,3172,2659277.6858677175,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,9,2,candidate,174.739772,167531,7041,2494909.9739010762,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,10,1,candidate,153.388886,149805,3464,2842187.6667126976,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,10,2,baseline,158.270524,154764,3386,2754524.272630828,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,11,1,baseline,182.62838200000002,177477,5034,2387142.651244646,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,11,2,candidate,172.89906499999998,169682,3091,2521471.1253643855,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,12,1,candidate,154.509577,151245,3139,2821572.671835093,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,12,2,baseline,179.67777600000002,176361,3189,2426343.47833869,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,13,1,baseline,167.222949,163551,3547,2607058.436698183,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,13,2,candidate,175.29767700000002,171440,3744,2486969.636226269,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,14,1,candidate,210.60277399999998,207431,3044,2070058.2035068541,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,14,2,baseline,155.941834,152446,3369,2795657.770704428,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,15,1,baseline,156.4627,151528,4814,2786350.996116007,389915,46045,41660,83722226217,84615618560,0
development_workspace,statx,15,2,candidate,142.831182,139566,3132,3052274.6776680737,389915,46045,41660,83722226217,84615618560,0
